cpu_usage,memory_usage,net_upload_mbps,net_download_mbps,disk_read_mbps,disk_write_mbps,idle
65.53,48.13,11.39,27.03,22.59,31.75,0
94.08,48.57,3.59,71.04,23.19,24.27,0
71.93,48.72,19.83,17.2,9.68,37.6,0
40.56,48.37,2.51,13.14,45.24,13.63,0
37.0,48.97,7.74,11.6,28.36,8.04,0
37.53,48.62,11.26,88.61,34.29,28.98,0
44.98,49.08,13.72,99.44,34.78,30.1,0
54.89,49.46,2.14,58.42,48.09,12.89,0
35.07,49.16,11.18,14.18,25.27,39.03,0
69.87,48.46,16.11,93.08,15.56,22.97,0
94.44,48.71,18.61,56.3,42.89,28.44,0
26.68,49.13,15.35,17.13,42.17,40.19,0
22.71,50.0,6.76,30.0,21.21,8.94,0
61.54,50.03,6.8,42.71,25.12,32.03,0
88.95,50.89,10.44,99.26,43.31,14.38,0
28.73,51.5,16.53,41.16,44.51,44.06,0
79.25,51.89,6.79,12.69,23.13,12.81,0
45.96,52.62,19.54,65.89,42.01,10.96,0
89.21,52.62,10.25,62.59,39.42,12.87,0
49.9,51.89,3.78,39.92,8.07,6.16,0
92.23,51.91,11.44,96.75,24.46,19.03,0
52.96,52.21,3.01,65.88,14.72,32.88,0
31.4,53.2,2.17,79.17,25.69,7.62,0
24.33,52.44,14.21,98.45,15.76,11.4,0
42.75,53.43,2.92,70.76,7.8,27.92,0
81.05,53.28,12.69,34.09,33.08,28.72,0
29.8,53.11,17.85,47.73,13.76,21.55,0
82.07,53.07,14.94,78.08,5.5,23.73,0
21.44,52.5,5.94,77.23,11.17,29.09,0
20.91,52.48,5.58,97.71,41.07,48.18,0
28.23,52.46,11.41,48.17,43.0,9.41,0
31.25,52.25,7.17,75.05,26.42,21.91,0
54.46,51.88,15.92,89.75,47.99,40.41,0
71.61,52.68,9.31,29.19,42.84,6.73,0
54.61,52.91,13.11,67.64,45.28,33.65,0
25.0,53.27,10.85,19.27,38.18,28.05,0
23.13,52.29,2.61,73.05,8.24,8.21,0
14.35,52.84,0.37,0.35,0.59,0.7,1
9.95,53.37,0.09,0.17,0.2,1.32,1
4.05,53.91,0.01,0.08,1.94,0.59,1
9.41,54.46,0.19,0.21,0.24,1.23,1
9.69,54.04,0.27,0.04,1.94,1.6,1
14.7,54.36,0.3,0.58,1.5,1.62,1
2.01,54.22,0.17,0.93,0.45,0.74,1
6.65,53.62,0.31,0.94,0.48,0.24,1
13.32,54.31,0.32,0.29,1.63,1.72,1
13.79,54.77,0.13,0.76,0.92,1.68,1
11.67,55.64,0.33,0.18,1.09,1.97,1
0.74,55.07,0.08,0.13,1.45,1.64,1
7.64,55.08,0.42,0.73,1.08,1.18,1
4.53,55.61,0.28,0.69,1.75,1.27,1
2.49,56.59,0.23,0.01,0.49,1.45,1
1.58,57.06,0.2,0.8,0.41,1.11,1
9.28,56.07,0.09,0.36,1.57,1.11,1
11.44,55.8,0.02,0.75,0.4,1.92,1
4.97,55.54,0.07,0.31,1.75,1.99,1
6.78,55.37,0.36,0.89,1.19,0.78,1
10.46,54.55,0.0,0.62,0.71,1.59,1
8.86,54.67,0.24,0.64,0.13,1.16,1
8.45,55.32,0.3,0.68,1.61,0.54,1
7.52,55.74,0.04,0.06,0.67,1.57,1
11.85,55.61,0.26,0.44,0.29,0.66,1
1.42,56.47,0.11,0.6,1.47,2.0,1
9.67,56.29,0.21,0.64,1.57,0.24,1
12.61,56.02,0.19,0.57,1.18,0.37,1
5.08,56.05,0.01,0.02,1.66,0.55,1
4.55,56.74,0.47,0.26,0.86,1.75,1
2.87,55.9,0.4,0.46,0.97,0.27,1
10.95,55.22,0.25,0.44,1.46,1.53,1
9.19,54.36,0.07,0.75,1.31,1.91,1
0.95,53.85,0.14,0.26,0.49,1.81,1
4.15,53.83,0.38,0.45,1.55,0.13,1
0.6,53.65,0.03,0.91,0.28,1.06,1
5.28,53.77,0.45,0.02,1.33,1.93,1
14.06,54.73,0.03,0.42,0.52,1.46,1
3.92,55.68,0.33,0.2,1.13,0.93,1
9.17,55.18,0.17,0.11,0.3,0.45,1
12.77,55.63,0.28,0.52,0.23,1.72,1
1.11,55.6,0.35,0.54,0.16,0.92,1
2.57,55.42,0.47,0.85,1.34,0.92,1
9.8,55.34,0.27,0.06,1.03,1.61,1
0.87,55.0,0.39,0.2,0.52,0.33,1
11.38,55.74,0.26,0.2,1.76,1.76,1
3.66,54.87,0.23,0.98,1.54,0.05,1
7.01,55.18,0.45,0.54,1.0,0.21,1
12.35,55.23,0.19,0.78,1.93,0.41,1
4.38,55.02,0.4,0.58,1.27,1.6,1
88.63,54.66,11.13,20.01,36.32,40.7,0
84.29,54.06,18.22,31.31,49.26,11.33,0
33.82,54.29,17.99,67.16,11.84,24.81,0
26.26,54.13,17.77,81.34,27.73,48.52,0
93.81,53.98,13.69,65.29,12.47,44.69,0
32.17,54.76,1.24,58.18,28.73,37.37,0
25.96,54.84,14.9,22.8,43.62,41.86,0
73.27,54.56,6.97,49.76,41.97,25.67,0
57.07,55.21,16.74,36.84,12.82,37.04,0
27.55,55.71,5.56,18.49,20.66,25.27,0
68.84,56.67,12.8,38.48,42.87,26.21,0
67.56,55.8,3.4,69.24,19.63,35.88,0
33.12,56.09,17.26,26.58,42.67,17.57,0
72.06,55.7,10.74,34.0,14.57,6.49,0
68.99,56.03,18.83,87.76,39.47,40.48,0
39.52,55.92,18.24,68.72,30.22,9.99,0
54.53,55.14,17.43,56.93,22.12,48.96,0
51.69,55.86,1.8,75.29,46.31,17.6,0
41.92,56.79,18.3,76.63,41.22,5.81,0
74.5,56.01,6.79,83.79,17.67,44.27,0
72.78,55.95,11.27,14.17,15.89,5.56,0
42.59,55.05,12.37,33.24,18.5,38.44,0
87.72,54.42,17.19,68.44,31.69,45.15,0
25.92,55.41,5.55,80.48,6.56,31.23,0
84.18,54.64,10.91,11.05,42.41,31.95,0
27.04,54.78,18.28,68.57,42.32,44.55,0
58.81,54.98,9.18,35.11,24.56,39.82,0
86.94,55.39,9.42,62.67,33.41,31.63,0
37.81,55.69,10.73,14.9,22.3,26.95,0
91.29,54.84,12.41,75.64,27.78,33.53,0
39.08,54.39,7.88,49.89,7.05,11.3,0
92.86,53.95,7.3,50.79,13.82,32.49,0
35.52,53.02,10.81,5.52,5.34,14.86,0
28.1,52.61,7.44,81.25,30.74,28.07,0
89.88,52.3,8.54,13.27,32.77,10.12,0
58.06,51.56,17.61,51.89,36.6,49.68,0
40.6,51.99,8.5,45.07,23.5,45.84,0
65.59,51.0,6.88,83.26,47.98,41.95,0
67.73,51.37,1.97,29.47,7.68,32.17,0
28.59,51.21,8.29,48.34,21.61,10.45,0
76.34,51.54,2.35,12.62,20.96,47.38,0
70.9,52.37,7.88,61.4,5.46,33.62,0
65.94,51.5,17.6,73.78,10.43,45.61,0
60.05,51.48,3.7,6.11,23.99,18.28,0
63.29,51.93,1.83,16.69,30.14,20.44,0
68.92,51.48,17.07,70.79,24.35,35.28,0
42.97,52.2,15.99,47.41,40.93,42.01,0
88.75,52.4,9.19,35.29,31.2,21.7,0
72.92,51.69,14.08,40.58,12.51,24.37,0
86.76,51.96,7.57,19.67,6.15,34.06,0
5.18,52.17,0.04,0.41,0.62,1.35,1
5.53,51.45,0.11,0.99,0.91,1.38,1
7.34,50.53,0.01,0.51,1.93,0.77,1
0.56,50.45,0.19,0.16,0.05,1.51,1
4.41,51.23,0.45,0.12,1.91,0.63,1
9.08,51.0,0.41,0.98,0.58,1.92,1
5.84,51.09,0.17,0.54,0.31,1.11,1
11.45,50.48,0.42,0.44,0.6,0.52,1
0.96,50.17,0.17,0.27,1.93,1.12,1
8.75,49.98,0.07,0.44,1.25,0.98,1
14.91,49.38,0.44,0.62,1.14,1.24,1
5.99,50.31,0.02,0.48,1.09,0.46,1
13.65,50.89,0.36,0.53,1.74,0.26,1
1.96,50.18,0.4,0.28,1.75,1.89,1
6.99,49.94,0.49,0.48,1.73,1.18,1
4.36,49.92,0.1,0.76,0.77,1.02,1
8.7,50.45,0.43,0.98,0.82,1.66,1
8.65,50.33,0.48,0.2,0.22,1.71,1
12.72,50.35,0.45,0.06,1.77,0.9,1
9.44,50.79,0.46,0.02,0.95,1.38,1
10.42,50.35,0.07,0.3,0.72,1.61,1
3.24,51.01,0.48,0.01,2.0,1.35,1
4.49,50.29,0.01,0.74,1.67,1.48,1
11.33,50.52,0.38,0.66,1.53,1.69,1
1.42,49.65,0.24,0.08,0.82,0.81,1
5.3,50.56,0.06,0.81,1.9,0.14,1
7.89,50.98,0.15,0.08,1.0,1.59,1
0.85,50.54,0.04,0.4,0.59,0.46,1
12.07,50.49,0.46,0.41,1.81,0.64,1
3.47,50.79,0.32,0.98,1.21,0.72,1
1.93,51.04,0.44,0.5,0.9,1.17,1
1.17,51.65,0.34,0.24,1.43,1.65,1
8.33,51.64,0.26,0.14,1.55,0.54,1
4.34,51.27,0.07,0.63,0.11,1.5,1
0.1,50.4,0.26,0.05,0.55,1.41,1
12.61,49.6,0.0,0.25,1.48,0.63,1
5.47,50.39,0.14,0.84,0.63,1.58,1
6.56,50.76,0.45,0.38,1.93,0.18,1
7.46,50.09,0.19,0.63,1.41,0.01,1
10.72,50.5,0.33,0.97,1.52,1.9,1
4.54,50.22,0.05,0.78,1.29,0.1,1
14.36,49.96,0.25,0.43,0.92,0.42,1
5.61,50.66,0.03,0.77,0.83,1.64,1
3.26,51.01,0.33,0.47,1.76,0.43,1
9.16,50.64,0.15,0.14,1.3,1.48,1
9.71,50.22,0.2,0.71,0.4,1.78,1
5.58,50.89,0.03,0.11,1.03,0.54,1
0.32,50.72,0.19,0.34,0.04,0.25,1
7.44,50.65,0.2,0.53,1.19,0.02,1
14.46,51.19,0.26,0.68,0.62,1.55,1
59.1,51.81,19.54,16.93,5.76,39.66,0
29.02,51.84,6.05,6.67,18.2,39.79,0
46.11,52.79,8.06,5.13,18.49,34.09,0
83.53,52.71,1.45,90.36,40.24,40.12,0
49.85,52.67,6.76,11.24,15.27,16.1,0
76.06,53.25,10.0,10.5,48.1,47.42,0
94.35,52.7,11.35,96.46,8.4,21.46,0
34.69,51.99,3.68,64.13,40.16,31.02,0
80.83,51.68,13.08,41.88,35.34,16.7,0
88.81,50.8,6.52,49.65,45.06,36.85,0
31.05,51.72,1.15,64.94,25.15,11.04,0
59.72,51.27,5.6,52.56,35.58,8.43,0
80.52,50.6,9.73,56.92,24.48,6.98,0
53.42,51.19,4.97,9.75,42.96,49.15,0
84.03,52.18,5.6,96.26,13.86,47.81,0
73.38,52.36,19.64,59.11,16.68,24.66,0
25.48,53.18,12.82,98.21,13.55,40.67,0
90.78,52.5,19.24,54.54,48.98,39.08,0
55.77,51.83,14.65,28.5,33.83,35.0,0
62.38,51.54,15.66,52.4,5.54,5.41,0
89.46,52.24,5.34,65.26,14.99,19.48,0
74.66,52.56,2.81,45.73,6.31,26.64,0
28.89,51.65,6.49,42.79,46.38,49.7,0
77.08,52.56,8.06,42.28,38.94,46.33,0
63.28,52.27,7.79,79.82,16.3,30.38,0
69.25,52.28,5.57,23.2,46.32,9.58,0
36.56,51.85,1.74,8.42,12.88,44.0,0
91.28,52.37,12.05,46.48,31.1,28.25,0
41.19,52.21,7.71,89.94,47.59,45.17,0
78.53,51.58,10.05,52.27,14.21,31.6,0
44.87,52.46,17.25,24.67,8.2,8.11,0
58.02,52.85,8.78,82.03,42.61,19.95,0
77.83,52.41,13.44,19.4,44.41,29.26,0
51.89,52.25,1.71,17.15,39.45,5.0,0
59.19,51.85,2.04,97.44,15.18,18.69,0
37.28,52.18,1.03,74.29,48.51,15.09,0
75.64,52.6,17.12,45.15,18.63,19.64,0
81.26,53.57,4.45,40.24,45.59,41.3,0
76.57,53.66,8.47,61.11,34.75,8.53,0
73.2,52.75,4.18,79.16,31.27,47.85,0
39.9,51.95,12.43,33.17,37.15,39.16,0
58.54,52.35,10.67,40.08,46.98,42.24,0
73.57,53.07,9.77,92.49,36.26,37.8,0
40.56,54.03,16.33,23.55,20.54,20.1,0
84.24,54.02,14.32,74.07,30.29,47.62,0
48.54,53.07,4.1,79.69,38.05,22.3,0
82.92,52.54,1.22,71.85,48.66,24.69,0
72.87,52.55,16.53,56.91,48.52,7.33,0
73.88,52.34,17.39,22.03,41.0,29.87,0
29.88,53.09,17.44,19.94,18.94,18.05,0
10.12,53.75,0.4,0.25,1.25,1.14,1
13.6,53.33,0.01,0.67,0.1,1.1,1
4.67,53.14,0.18,0.62,0.67,1.47,1
1.12,52.8,0.39,0.29,0.87,1.37,1
0.94,53.07,0.19,0.94,1.28,1.34,1
3.06,52.62,0.21,0.75,0.2,0.56,1
6.54,53.56,0.49,0.07,1.04,0.36,1
1.79,53.25,0.2,0.74,1.41,0.85,1
6.02,52.83,0.13,0.21,0.97,0.54,1
9.89,53.73,0.48,0.6,0.15,0.15,1
4.53,53.27,0.05,0.6,1.25,1.3,1
0.33,53.49,0.48,0.25,1.35,1.41,1
4.76,52.7,0.14,0.6,1.73,1.89,1
2.41,52.87,0.47,0.74,1.77,0.41,1
10.55,52.38,0.34,0.41,0.03,1.17,1
6.81,52.72,0.48,0.4,1.68,0.38,1
14.66,53.22,0.05,0.01,0.87,0.19,1
13.73,52.24,0.22,0.26,0.87,1.45,1
8.88,51.42,0.31,0.64,0.48,1.43,1
3.07,50.85,0.44,0.74,0.03,0.5,1
4.14,51.06,0.12,0.06,0.92,1.47,1
10.13,51.71,0.04,0.95,1.68,1.61,1
14.0,52.19,0.27,0.2,1.23,1.49,1
7.87,52.26,0.03,0.37,1.84,1.17,1
4.11,52.17,0.18,0.9,1.33,1.57,1
9.49,52.47,0.12,0.71,0.86,0.89,1
14.05,51.51,0.03,0.82,0.58,0.89,1
4.59,50.72,0.25,0.06,0.98,1.85,1
11.49,50.04,0.2,0.66,0.52,0.32,1
1.15,50.41,0.09,0.66,1.76,1.63,1
1.75,50.49,0.14,0.31,0.5,1.03,1
5.42,51.31,0.18,0.83,1.58,0.62,1
14.3,52.07,0.16,0.35,1.01,1.88,1
1.63,52.78,0.2,0.55,1.01,0.39,1
